科类,院系,专业,最高分,最低分,平均分,省份,年份
文科,传播与设计学院,新闻传播学类,615,614,614,重庆,2016
文科,法学院,法学,617,617,617,重庆,2016
文科,国际翻译学院,外国语言文学类,610,610,610,重庆,2016
文科,国际金融学院,工商管理类,619,615,617,重庆,2016
文科,国际金融学院,经济学类,617,617,617,重庆,2016
文科,岭南学院,经济学类,624,620,622,重庆,2016
文科,社会学与人类学学院,人类学,612,612,612,重庆,2016
文科,社会学与人类学学院,社会学,,,,重庆,2016
文科,外国语学院,日语,613,613,613,重庆,2016
文科,外国语学院,英语,615,613,614,重庆,2016
文科,政治与公共事务管理学院,公共管理类,616,612,614,重庆,2016
文科,中国语言文学系（广州）,汉语言文学,613,613,613,重庆,2016
文科,中国语言文学系（珠海）,汉语言文学,,,,重庆,2016
文科,资讯管理学院,图书情报与档案管理类,610,599,606,重庆,2016
理科,材料科学与工程学院,材料类,659,658,659,重庆,2016
理科,材料学院,材料类,,,,重庆,2016
理科,大气科学学院,大气科学类,658,658,658,重庆,2016
理科,地理科学与规划学院,地理科学类,659,658,659,重庆,2016
理科,地球科学与工程学院,地质类,,,,重庆,2016
理科,电子与信息工程学院,微电子科学与工程,659,653,657,重庆,2016
理科,工学院,交通工程,660,659,660,重庆,2016
理科,工学院,能源与动力工程,660,658,659,重庆,2016
理科,公共卫生学院（广州）,预防医学,676,676,676,重庆,2016
理科,公共卫生学院（深圳）,预防医学,,,,重庆,2016
理科,管理学院,工商管理类,669,665,667,重庆,2016
理科,管理学院,工商管理,,,,重庆,2016
理科,光华口腔医学院,口腔医学,677,664,671,重庆,2016
理科,光华口腔医学院,口腔医学（5+3）,663,661,662,重庆,2016
理科,国际金融学院,经济学类,664,662,663,重庆,2016
理科,国际金融学院,金融学,,,,重庆,2016
理科,海洋科学学院,海洋科学,,,,重庆,2016
理科,化学学院,化学类,660,647,654,重庆,2016
理科,环境科学与工程学院,环境科学与工程类,660,657,659,重庆,2016
理科,岭南学院,经济学类,673,666,670,重庆,2016
理科,旅游学院,旅游管理类,661,651,656,重庆,2016
理科,生命科学学院,生物科学类,653,653,653,重庆,2016
理科,数据科学与计算机学院,计算机类,667,663,665,重庆,2016
理科,数据科学与计算机学院（软件学院）,软件工程,664,658,661,重庆,2016
理科,数学学院（珠海）,数学类,672,661,666,重庆,2016
理科,数学学院（广州）,数学类,,,,重庆,2016
理科,物理学院（广州）,光电信息科学与工程,670,658,664,重庆,2016
理科,药学院（广州）,药学,657,657,657,重庆,2016
理科,医学院（深圳）,临床医学,678,672,676,重庆,2016
理科,哲学系（广州）,逻辑学,658,647,653,重庆,2016
理科,中法核工程与技术学院,核工程类（中外合作办学）（核工程与核技术专业）,660,660,660,重庆,2016
理科,中山医学院,康复治疗学,660,660,660,重庆,2016
理科,中山医学院,临床医学（八年制）,681,679,680,重庆,2016
理科,航空航天学院,理论与应用力学,,,,重庆,2016
理科,智能工程学院,智能科学与技术,,,,重庆,2016
,,,,,,重庆,2016
文科,传播与设计学院,新闻传播学类,597,586,591,广东,2016
文科,法学院,法学,608,587,592,广东,2016
文科,管理学院,工商管理类,609,595,600,广东,2016
文科,管理学院,工商管理,,,,广东,2016
文科,管理学院,会计学,,,,广东,2016
文科,国际翻译学院,外国语言文学类,594,577,581,广东,2016
文科,国际关系学院,国际政治,587,580,584,广东,2016
文科,国际金融学院,经济学类,605,591,597,广东,2016
文科,国际金融学院,工商管理类,599,590,594,广东,2016
文科,国际金融学院,金融学,,,,广东,2016
文科,历史学系（广州）,历史学,610,579,585,广东,2016
文科,历史学系（珠海）,历史学,583,577,579,广东,2016
文科,岭南学院,经济学类,619,604,608,广东,2016
文科,旅游学院,旅游管理类,592,578,582,广东,2016
文科,社会学与人类学学院,人类学,599,580,585,广东,2016
文科,社会学与人类学学院,社会学,601,582,588,广东,2016
文科,外国语学院,德语,591,586,587,广东,2016
文科,外国语学院,法语,598,584,590,广东,2016
文科,外国语学院,日语,601,582,586,广东,2016
文科,外国语学院,英语,602,585,590,广东,2016
文科,哲学系（广州）,哲学,602,577,582,广东,2016
文科,哲学系（珠海）,哲学,588,577,580,广东,2016
文科,政治与公共事务管理学院,公共管理类,593,584,588,广东,2016
文科,中国语言文学系（广州）,汉语言文学,602,588,593,广东,2016
文科,中国语言文学系（珠海）,汉语言文学,586,577,582,广东,2016
文科,资讯管理学院,图书情报与档案管理类,589,577,582,广东,2016
理科,材料科学与工程学院,材料类,635,607,615,广东,2016
